tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
923,1/1/2016 00:00:41,1/1/2016 00:16:04,268,Howard St & Centre St,40.71910537,-73.99973337,3002,South End Ave & Liberty St,40.711512,-74.015756,22285,Subscriber,1958,1
379,1/1/2016 00:00:45,1/1/2016 00:07:04,476,E 31 St & 3 Ave,40.74394314,-73.97966069,498,Broadway & W 32 St,40.74854862,-73.98808416,17827,Subscriber,1969,1
589,1/1/2016 00:00:48,1/1/2016 00:10:37,489,10 Ave & W 28 St,40.75066386,-74.00176802,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,21997,Subscriber,1982,2
889,1/1/2016 00:01:06,1/1/2016 00:15:56,268,Howard St & Centre St,40.71910537,-73.99973337,3002,South End Ave & Liberty St,40.711512,-74.015756,22794,Subscriber,1961,2
1480,1/1/2016 00:01:12,1/1/2016 00:25:52,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,14562,Subscriber,1952,1
332,1/1/2016 00:01:19,1/1/2016 00:06:51,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,389,Broadway & Berry St,40.71044554,-73.96525063,15788,Subscriber,1984,1
2321,1/1/2016 00:01:27,1/1/2016 00:40:08,3167,Amsterdam Ave & W 73 St,40.7796680900731,-73.9809304475784,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,24183,Subscriber,1963,1
694,1/1/2016 00:02:18,1/1/2016 00:13:53,268,Howard St & Centre St,40.71910537,-73.99973337,497,E 17 St & Broadway,40.73704984,-73.99009296,15747,Subscriber,1996,1
1376,1/1/2016 00:03:12,1/1/2016 00:26:09,527,E 33 St & 2 Ave,40.744023,-73.976056,259,South St & Whitehall St,40.70122128,-74.01234218,23933,Subscriber,1963,1
194,5/31/2016 23:58:40,6/1/2016 00:01:54,3151,E 81 St & York Ave,40.7728384,-73.94989233,3156,E 72 St & York Ave,40.76663814,-73.95348296,17207,Subscriber,1990,1
541,5/31/2016 23:59:02,6/1/2016 00:08:03,483,E 12 St & 3 Ave,40.73223272,-73.98889957,3224,W 13 St & Hudson St,40.7399735410341,-74.0051387250423,16823,Subscriber,1982,1
267,5/31/2016 23:59:09,6/1/2016 00:03:37,402,Broadway & E 22 St,40.7403432,-73.98955109,293,Lafayette St & E 8 St,40.73028666,-73.9907647,15640,Subscriber,1982,1
660,5/31/2016 23:59:13,6/1/2016 00:10:14,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,295,Pike St & E Broadway,40.71406667,-73.99293911,22703,Subscriber,1989,1
526,5/31/2016 23:59:19,6/1/2016 00:08:05,483,E 12 St & 3 Ave,40.73223272,-73.98889957,3224,W 13 St & Hudson St,40.7399735410341,-74.0051387250423,15076,Subscriber,1993,2
309,5/31/2016 23:59:21,6/1/2016 00:04:31,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,20805,Subscriber,1987,2
985,5/31/2016 23:59:21,6/1/2016 00:15:46,531,Forsyth St & Broome St,40.71893904,-73.99266288,402,Broadway & E 22 St,40.7403432,-73.98955109,22010,Subscriber,1966,1
674,5/31/2016 23:59:35,6/1/2016 00:10:50,128,MacDougal St & Prince St,40.72710258,-74.00297088,276,Duane St & Greenwich St,40.71748752,-74.0104554,25086,Subscriber,1998,1
533,5/31/2016 23:59:37,6/1/2016 00:08:31,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,477,W 41 St & 8 Ave,40.75640548,-73.9900262,14903,Subscriber,1970,1
457,5/31/2016 23:59:43,6/1/2016 00:07:20,477,W 41 St & 8 Ave,40.75640548,-73.9900262,457,Broadway & W 58 St,40.76695317,-73.98169333,15362,Subscriber,1975,1
264,8/29/2016 14:14:38,8/29/2016 14:19:02,457,Broadway & W 58 St,40.76695317,-73.98169333,499,Broadway & W 60 St,40.76915505,-73.98191841,17652,Subscriber,1969,2
714,8/29/2016 14:20:09,8/29/2016 14:32:03,457,Broadway & W 58 St,40.76695317,-73.98169333,516,E 47 St & 1 Ave,40.75206862,-73.96784384,16393,Subscriber,1955,1
467,8/29/2016 14:30:35,8/29/2016 14:38:22,457,Broadway & W 58 St,40.76695317,-73.98169333,533,Broadway & W 39 St,40.75299641,-73.98721619,22159,Subscriber,1958,1
1137,8/29/2016 14:35:36,8/29/2016 14:54:33,457,Broadway & W 58 St,40.76695317,-73.98169333,402,Broadway & E 22 St,40.7403432,-73.98955109,23800,Subscriber,1966,1
693,8/29/2016 14:38:02,8/29/2016 14:49:35,457,Broadway & W 58 St,40.76695317,-73.98169333,485,W 37 St & 5 Ave,40.75038009,-73.98338988,24192,Subscriber,1970,1
817,8/29/2016 14:51:22,8/29/2016 15:05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,19548,Subscriber,1965,2
517,8/29/2016 14:54:48,8/29/2016 15:03:25,457,Broadway & W 58 St,40.76695317,-73.98169333,305,E 58 St & 3 Ave,40.76095756,-73.96724467,21077,Subscriber,1958,1
242,8/29/2016 15:33:18,8/29/2016 15:37:20,457,Broadway & W 58 St,40.76695317,-73.98169333,469,Broadway & W 53 St,40.76344058,-73.98268129,18038,Subscriber,1987,2
569,8/29/2016 15:47:35,8/29/2016 15:57:04,457,Broadway & W 58 St,40.76695317,-73.98169333,479,9 Ave & W 45 St,40.76019252,-73.9912551,25945,Subscriber,1972,1
2245,8/29/2016 16:25:46,8/29/2016 17:03:12,457,Broadway & W 58 St,40.76695317,-73.98169333,368,Carmine St & 6 Ave,40.73038599,-74.00214988,22631,Subscriber,1983,2
244,1/31/2016 23:26:33,1/31/2016 23:30:38,3092,Berry St & N 8 St,40.7190095,-73.95852515,3112,Milton St & Franklin St,40.72906,-73.95779,23422,Subscriber,1970,1
840,1/31/2016 23:27:00,1/31/2016 23:41:01,352,W 56 St & 6 Ave,40.76340613,-73.97722479,498,Broadway & W 32 St,40.74854862,-73.98808416,16669,Subscriber,1977,1
